degree,partition,length,rung13,rung14,lmr,witness_ids,conditional_i_pad_floor,certified_i_pad_floor,certified_i_det_upper,exclusion_status,B_predecessor,B_exact_inherited_increment,B_birth_upper,B_bound_kind
26,"(65, 21, 4, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 21, 4, 3, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 21, 4, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(61, 21, 4, 2, 2, 2, 2, 2, 2, 2)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 21, 3, 3, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(61, 21, 3, 3, 2, 2, 2, 2, 2, 2)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 20, 7, 2, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(61, 20, 7, 2, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 20, 6, 3, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(61, 20, 6, 3, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 20, 6, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 20, 6, 2, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 20, 5, 4, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(61, 20, 5, 4, 2, 2, 2, 2, 2)",,22797676984067292240,coarse exact monomial upper bound
26,"(65, 20, 5, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 20, 5, 3, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 20, 5, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(61, 20, 5, 2, 2, 2, 2, 2, 2, 2)",,688909497685201096650,coarse exact monomial upper bound
26,"(65, 20, 4, 4, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(61, 20, 4, 4, 2, 2, 2, 2, 2, 1)",,688909497685201096650,coarse exact monomial upper bound
